,值
1325,433.2903
1326,426.538055
1327,423.326447
1328,427.012756
1329,435.9339
1330,433.3508
1331,427.265167
1332,430.664154
1333,433.9065
1334,428.672028
1335,430.804565
1336,431.374
1337,433.5826
1338,435.39856
1339,429.952148
1340,431.778564
1341,435.566742
1342,438.629547
1343,434.4604
1344,435.170258
1345,435.80188
1346,434.5093
1347,437.917267
1348,437.162537
1349,440.5863
1350,438.6902
1351,433.661133
1352,433.021973
1353,436.848175
1354,435.910522
1355,440.8418
1356,436.538757
1357,432.600769
1358,430.5112
1359,429.287781
1360,435.018036
1361,434.969
1362,430.928253
1363,430.825958
1364,433.592529
1365,429.6729
1366,428.006042
1367,429.87207
1368,427.767761
1369,428.400421
1370,426.5078
1371,427.303131
1372,426.276154
1373,424.503967
1374,422.904541
1375,423.5089
1376,424.611633
1377,425.0178
1378,422.468719
1379,423.619476
1380,423.803833
1381,425.4243
1382,422.2715
1383,425.6925
1384,429.063141
1385,424.2813
1386,430.1577
1387,425.832275
1388,424.911865
1389,423.8036
1390,424.154175
1391,428.891235
1392,430.513245
1393,428.364746
1394,429.1559
1395,432.556641
1396,432.999268
1397,432.9906
1398,429.637146
1399,430.8164
1400,432.792
1401,430.587036
1402,432.1543
1403,436.053528
1404,433.662842
1405,434.0652
1406,434.744965
1407,435.1846
1408,435.960266
1409,431.996765
1410,432.6607
1411,434.516846
1412,431.949341
1413,433.3955
1414,435.4525
1415,434.315826
1416,430.570862
1417,433.457275
1418,433.47522
1419,431.24707
1420,433.9943
1421,431.654144
1422,430.156464
1423,431.559479
1424,431.5214
1425,430.13855
1426,430.2715
1427,426.232544
1428,428.656219
1429,426.014648
1430,426.188171
1431,424.929535
1432,428.159241
1433,424.3145
1434,426.49527
1435,425.637756
1436,428.2994
1437,425.417664
1438,424.113861
1439,425.286926
1440,422.841248
1441,425.596954
1442,426.171
1443,422.5666
1444,425.8781
1445,425.609558
1446,426.0244
1447,429.906433
1448,427.349274
1449,423.907166
1450,425.8252
1451,426.341339
1452,427.689026
1453,431.868225
1454,428.602325
1455,430.031036
1456,432.2262
1457,432.477753
1458,431.737823
1459,432.066254
1460,433.731171
1461,434.6031
1462,431.633667
1463,435.324554
1464,437.802216
1465,434.799561
1466,430.010559
1467,434.4712
1468,434.333679
1469,432.57077
1470,431.253662
1471,435.248383
1472,440.512115
1473,432.8565
1474,434.53
1475,431.327576
1476,430.803528
1477,434.9622
1478,433.6211
1479,432.5647
1480,434.959076
1481,436.4329
1482,433.278381
1483,434.3965
1484,431.33197
1485,433.0348
1486,430.337769
1487,430.439972
1488,430.359375
1489,433.32843
1490,427.5933
1491,429.354126
1492,429.560028
1493,425.986969
1494,425.796082
1495,425.950867
1496,424.6865
1497,429.380859
1498,427.8889
1499,425.9042
1500,427.3238
1501,427.651642
1502,424.2446
1503,427.17038
1504,423.400848
1505,424.2848
1506,421.8098
1507,426.490417
1508,428.55954
1509,426.2161
1510,425.2189
1511,427.4754
1512,422.8897
1513,425.177551
1514,423.296021
